1321 東証ETF 日経225連動型上場投資信託（ETF）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2002-01-04","10720","10880","10680","10840","242880","10840"
"2002-01-07","10820","10980","10800","10810","152090","10810"
"2002-01-08","10800","10830","10680","10690","56600","10690"
"2002-01-09","10720","10750","10640","10670","31110","10670"
"2002-01-10","10760","10760","10520","10570","105790","10570"
"2002-01-11","10610","10630","10460","10480","57300","10480"
"2002-01-15","10320","10360","10250","10300","167210","10300"
"2002-01-16","10180","10280","10110","10270","119350","10270"
"2002-01-17","10200","10270","10090","10190","213690","10190"
"2002-01-18","10230","10290","10180","10280","56530","10280"
"2002-01-21","10270","10390","10190","10270","45710","10270"
"2002-01-22","10260","10280","10050","10050","159580","10050"
"2002-01-23","10060","10170","10060","10070","161750","10070"
"2002-01-24","10150","10250","10020","10030","150550","10030"
"2002-01-25","10150","10210","10030","10210","135320","10210"
"2002-01-28","10240","10310","10180","10240","59610","10240"
"2002-01-29","10200","10200","10050","10070","52960","10070"
"2002-01-30","9950","9950","9870","9920","239190","9920"
"2002-01-31","9970","10030","9900","9980","87490","9980"
"2002-02-01","10010","10040","9740","9790","219990","9790"
"2002-02-04","9790","9810","9640","9660","92750","9660"
"2002-02-05","9600","9700","9490","9500","277440","9500"
"2002-02-06","9500","9600","9450","9470","277420","9470"
"2002-02-07","9500","9630","9450","9570","189220","9570"
"2002-02-08","9550","9750","9540","9710","90950","9710"
"2002-02-12","9950","9950","9800","9860","138750","9860"
"2002-02-13","9850","10030","9850","9980","87740","9980"
"2002-02-14","10010","10230","10010","10100","126770","10100"
"2002-02-15","10090","10130","10020","10050","60430","10050"
"2002-02-18","10010","10110","9970","10110","96650","10110"
"2002-02-19","10080","10130","9780","9790","92120","9790"
"2002-02-20","9780","9890","9760","9860","129940","9860"
"2002-02-21","9920","10280","9870","10280","203260","10280"
"2002-02-22","10080","10420","10080","10340","295550","10340"
"2002-02-25","10380","10430","10260","10280","78700","10280"
"2002-02-26","10430","10440","10160","10170","44250","10170"
"2002-02-27","10290","10560","10250","10550","295670","10550"
"2002-02-28","10600","10790","10550","10550","240870","10550"
"2002-03-01","10650","10850","10550","10650","195200","10650"
"2002-03-04","10900","11420","10900","11400","569780","11400"
"2002-03-05","11450","11600","11350","11390","318420","11390"
"2002-03-06","11350","11620","11350","11370","171080","11370"
"2002-03-07","11600","11700","11510","11700","185370","11700"
"2002-03-08","11730","12000","11660","11960","175590","11960"
"2002-03-11","11990","12040","11780","11960","109380","11960"
"2002-03-12","11900","11900","11650","11700","114800","11700"
"2002-03-13","11590","11790","11430","11430","133650","11430"
"2002-03-14","11480","11590","11370","11570","153530","11570"
"2002-03-15","11650","11720","11550","11660","164020","11660"
"2002-03-18","11800","11810","11500","11540","112110","11540"
"2002-03-19","11630","11810","11630","11810","114960","11810"
"2002-03-20","11850","11850","11510","11530","267090","11530"
"2002-03-22","11500","11540","11340","11380","155870","11380"
"2002-03-25","11330","11390","11190","11240","138740","11240"
"2002-03-26","11270","11570","11200","11200","98780","11200"
"2002-03-27","11300","11470","11230","11340","84320","11340"
"2002-03-28","11320","11390","11280","11320","56020","11320"
"2002-03-29","11430","11450","11060","11160","267920","11160"
"2002-04-01","11250","11250","11050","11110","77290","11110"
"2002-04-02","11200","11250","11100","11230","37540","11230"
"2002-04-03","11130","11530","11060","11440","136770","11440"
"2002-04-04","11430","11580","11380","11450","165330","11450"
"2002-04-05","11430","11450","11350","11410","112790","11410"
"2002-04-08","11380","11470","11310","11380","63710","11380"
"2002-04-09","11380","11420","11170","11180","152990","11180"
"2002-04-10","11130","11330","11090","11250","88010","11250"
"2002-04-11","11360","11380","11190","11190","70100","11190"
"2002-04-12","11120","11180","10950","11060","238130","11060"
"2002-04-15","11040","11210","11000","11210","110280","11210"
"2002-04-16","11180","11410","11180","11390","141980","11390"
"2002-04-17","11500","11600","11430","11520","223580","11520"
"2002-04-18","11530","11700","11530","11580","158640","11580"
"2002-04-19","11510","11580","11440","11510","53970","11510"
"2002-04-22","11610","11800","11610","11750","220460","11750"
"2002-04-23","11650","11860","11630","11760","124890","11760"
"2002-04-24","11820","11850","11700","11720","70320","11720"
"2002-04-25","11720","11750","11620","11690","49600","11690"
"2002-04-26","11760","11760","11510","11610","136100","11610"
"2002-04-30","11550","11600","11490","11540","73290","11540"
"2002-05-01","11610","11640","11580","11590","67370","11590"
"2002-05-02","11640","11650","11570","11600","38870","11600"
"2002-05-07","11510","11510","11300","11360","150710","11360"
"2002-05-08","11430","11630","11430","11580","53440","11580"
"2002-05-09","11780","11830","11670","11670","88420","11670"
"2002-05-10","11600","11630","11580","11600","36570","11600"
"2002-05-13","11510","11510","11350","11380","146420","11380"
"2002-05-14","11550","11550","11380","11440","54490","11440"
"2002-05-15","11600","11740","11580","11690","109080","11690"
"2002-05-16","11700","11790","11630","11770","112130","11770"
"2002-05-17","11810","11970","11810","11830","294970","11830"
"2002-05-20","11950","11990","11850","11880","167210","11880"
"2002-05-21","11840","11870","11810","11830","73890","11830"
"2002-05-22","11810","12030","11800","12030","222350","12030"
"2002-05-23","12070","12090","11970","11980","135980","11980"
"2002-05-24","12050","12060","11900","12030","744770","12030"
"2002-05-27","11950","12140","11950","12020","140180","12020"
"2002-05-28","12000","12000","11930","11960","98340","11960"
"2002-05-29","11890","11930","11840","11860","65660","11860"
"2002-05-30","11840","11850","11730","11810","162510","11810"
"2002-05-31","11810","11970","11800","11800","72440","11800"
"2002-06-03","11810","11990","11810","11970","100160","11970"
"2002-06-04","11920","11920","11670","11720","375250","11720"
"2002-06-05","11750","11810","11690","11710","175450","11710"
"2002-06-06","11760","11790","11590","11610","225620","11610"
"2002-06-07","11500","11510","11410","11480","343570","11480"
"2002-06-10","11580","11580","11410","11420","55840","11420"
"2002-06-11","11470","11550","11450","11510","145900","11510"
"2002-06-12","11420","11450","11310","11370","258800","11370"
"2002-06-13","11440","11450","11190","11210","347060","11210"
"2002-06-14","11190","11190","10920","10940","398800","10940"
"2002-06-17","10870","10930","10620","10700","347330","10700"
"2002-06-18","10960","10960","10780","10860","117370","10860"
"2002-06-19","10800","10810","10490","10540","465150","10540"
"2002-06-20","10540","10670","10370","10620","193410","10620"
"2002-06-21","10490","10500","10370","10380","185740","10380"
"2002-06-24","10190","10540","10190","10500","361000","10500"
"2002-06-25","10490","10630","10460","10540","114390","10540"
"2002-06-26","10340","10340","10100","10160","368960","10160"
"2002-06-27","10350","10380","10280","10280","136000","10280"
"2002-06-28","10470","10650","10440","10600","146290","10600"
"2002-07-01","10600","10730","10580","10630","105900","10630"
"2002-07-02","10520","10730","10410","10730","129090","10730"
"2002-07-03","10510","10860","10480","10710","480100","10710"
"2002-07-04","10800","10800","10640","10640","77630","10640"
"2002-07-05","10710","10890","10710","10850","119580","10850"
"2002-07-08","11050","11080","10770","10790","95250","10790"
"2002-07-09","10800","10960","10780","10920","109180","10920"
"2002-07-10","10860","10950","10740","10740","104180","10740"
"2002-07-11","10630","10640","10450","10540","204360","10540"
"2002-07-12","10630","10700","10580","10600","206620","10600"
"2002-07-15","10530","10540","10380","10430","359960","10430"
"2002-07-16","10350","10510","10260","10270","281870","10270"
"2002-07-17","10270","10340","10120","10320","203360","10320"
"2002-07-18","10400","10510","10340","10420","242900","10420"
"2002-07-19","10350","10360","10180","10200","357620","10200"
"2002-07-22","10000","10290","9970","10170","342470","10170"
"2002-07-23","10050","10270","10000","10210","122000","10210"
"2002-07-24","10110","10150","9910","9920","406480","9920"
"2002-07-25","10220","10220","9910","9940","195770","9940"
"2002-07-26","9890","9890","9560","9660","659960","9660"
"2002-07-29","9750","9870","9660","9730","205950","9730"
"2002-07-30","9980","10010","9910","10010","273610","10010"
"2002-07-31","10000","10000","9840","9940","142040","9940"
"2002-08-01","9940","9940","9750","9790","211800","9790"
"2002-08-02","9680","9810","9610","9740","148440","9740"
"2002-08-05","9640","9790","9630","9750","117270","9750"
"2002-08-06","9630","9630","9460","9520","466630","9520"
"2002-08-07","9750","9890","9720","9870","229450","9870"
"2002-08-08","9900","9940","9750","9790","112530","9790"
"2002-08-09","9950","10050","9860","10000","222800","10000"
"2002-08-12","9950","9950","9750","9750","176140","9750"
"2002-08-13","9680","9810","9650","9720","115430","9720"
